"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USC00427516","ST. GEORGE, UT US","1918-03-31",,,"81","44"
"USC00427516","ST. GEORGE, UT US","1918-04-01",,,"77","50"
"USC00427516","ST. GEORGE, UT US","1918-04-02",,,"74","42"
"USC00427516","ST. GEORGE, UT US","1918-04-03",,,"53","33"
"USC00427516","ST. GEORGE, UT US","1918-04-04",,,"59","30"
"USC00427516","ST. GEORGE, UT US","1918-04-05",,,"63","31"
"USC00427516","ST. GEORGE, UT US","1918-04-06",,,"75","53"
"USC00427516","ST. GEORGE, UT US","1918-04-07",,,"71","43"
"USC00427516","ST. GEORGE, UT US","1918-04-08",,,"82","46"
"USC00427516","ST. GEORGE, UT US","1918-04-09",,,"80","54"
"USC00427516","ST. GEORGE, UT US","1918-04-10",,,"81","48"
"USC00427516","ST. GEORGE, UT US","1918-04-11",,,"79","49"
"USC00427516","ST. GEORGE, UT US","1918-04-12",,,"80","52"
"USC00427516","ST. GEORGE, UT US","1918-04-13",,,"61","39"
"USC00427516","ST. GEORGE, UT US","1918-04-14",,,"68","39"
"USC00427516","ST. GEORGE, UT US","1918-04-15",,,"71","44"
"USC00427516","ST. GEORGE, UT US","1918-04-16",,,"70","39"
"USC00427516","ST. GEORGE, UT US","1918-04-17",,,"70","39"
"USC00427516","ST. GEORGE, UT US","1918-04-18",,,"68","39"
"USC00427516","ST. GEORGE, UT US","1918-04-19",,,"73","38"
"USC00427516","ST. GEORGE, UT US","1918-04-20",,,"71","37"
"USC00427516","ST. GEORGE, UT US","1918-04-21",,,"80","45"
"USC00427516","ST. GEORGE, UT US","1918-04-22",,,"83","48"
"USC00427516","ST. GEORGE, UT US","1918-04-23",,,"83","47"
"USC00427516","ST. GEORGE, UT US","1918-04-24",,,"83","52"
"USC00427516","ST. GEORGE, UT US","1918-04-25",,,"80","47"
"USC00427516","ST. GEORGE, UT US","1918-04-26",,,"80","47"
"USC00427516","ST. GEORGE, UT US","1918-04-27",,,"74","39"
"USC00427516","ST. GEORGE, UT US","1918-04-28",,,"80","42"
"USC00427516","ST. GEORGE, UT US","1918-04-29",,,"83","45"
"USC00427516","ST. GEORGE, UT US","1918-04-30",,,"87","50"
"USC00427516","ST. GEORGE, UT US","1918-05-01",,,"88","50"
"USC00427516","ST. GEORGE, UT US","1918-05-02",,,"90","50"
"USC00427516","ST. GEORGE, UT US","1918-05-03",,,"92","51"
"USC00427516","ST. GEORGE, UT US","1918-05-04",,,"90","54"
"USC00427516","ST. GEORGE, UT US","1918-05-05",,,"91","50"
"USC00427516","ST. GEORGE, UT US","1918-05-06",,,"90","52"
"USC00427516","ST. GEORGE, UT US","1918-05-07",,,"92","54"
"USC00427516","ST. GEORGE, UT US","1918-05-08",,,"88","50"
"USC00427516","ST. GEORGE, UT US","1918-05-09",,,"70","45"
"USC00427516","ST. GEORGE, UT US","1918-05-10",,,"64","44"
"USC00427516","ST. GEORGE, UT US","1918-05-11",,,"71","42"
"USC00427516","ST. GEORGE, UT US","1918-05-12",,,"81","46"
"USC00427516","ST. GEORGE, UT US","1918-05-13",,,"89","49"
"USC00427516","ST. GEORGE, UT US","1918-05-14",,,"86","45"
"USC00427516","ST. GEORGE, UT US","1918-05-15",,,"85","44"
"USC00427516","ST. GEORGE, UT US","1918-05-16",,,"81","47"
"USC00427516","ST. GEORGE, UT US","1918-05-17",,,"83","44"
"USC00427516","ST. GEORGE, UT US","1918-05-18",,,"79","46"
"USC00427516","ST. GEORGE, UT US","1918-05-19",,,"85","32"
"USC00427516","ST. GEORGE, UT US","1918-05-20",,,"82","48"
"USC00427516","ST. GEORGE, UT US","1918-05-21",,,"86","49"
"USC00427516","ST. GEORGE, UT US","1918-05-22",,,"88","51"
"USC00427516","ST. GEORGE, UT US","1918-05-23",,,"84","50"
"USC00427516","ST. GEORGE, UT US","1918-05-24",,,"87","52"
"USC00427516","ST. GEORGE, UT US","1918-05-25",,,"83","46"
"USC00427516","ST. GEORGE, UT US","1918-05-26",,,"79","53"
"USC00427516","ST. GEORGE, UT US","1918-05-27",,,"72","41"
"USC00427516","ST. GEORGE, UT US","1918-05-28",,,"73","45"
